@relation testSet_vw_w_header

@attribute powerPS numeric
@attribute kilometer numeric
@attribute yearOfRegistration numeric
@attribute automatic numeric
@attribute manual numeric
@attribute not-declared_gb numeric
@attribute no numeric
@attribute not-declared_nrp numeric
@attribute yes numeric
@attribute amarok numeric
@attribute andere numeric
@attribute beetle numeric
@attribute bora numeric
@attribute caddy numeric
@attribute cc numeric
@attribute eos numeric
@attribute fox numeric
@attribute golf numeric
@attribute jetta numeric
@attribute kaefer numeric
@attribute lupo numeric
@attribute not-declared_mo numeric
@attribute passat numeric
@attribute phaeton numeric
@attribute polo numeric
@attribute scirocco numeric
@attribute sharan numeric
@attribute tiguan numeric
@attribute touareg numeric
@attribute touran numeric
@attribute transporter numeric
@attribute up numeric
@attribute benzene numeric
@attribute cng numeric
@attribute diesel numeric
@attribute electric numeric
@attribute hybrid numeric
@attribute lpg numeric
@attribute not-declared_ft numeric
@attribute other_ft numeric
@attribute bus numeric
@attribute combination numeric
@attribute convertible numeric
@attribute limousine numeric
@attribute not-declared_vt numeric
@attribute other_vt numeric
@attribute 'small car' numeric
@attribute 'sport sedan' numeric
@attribute suv numeric
@attribute price numeric

@data
0.163265,1,0.833333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4300
0.132653,1,0.69697,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000
0.102041,0.103448,0.893939,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6799
0.110204,1,0.772727,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1495
0.120408,0.827586,0.590909,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,850
0.246939,1,0.863636,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8500
0.285714,0.37931,0.848485,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9800
0.142857,0.827586,0.893939,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5999
0.193878,0.586207,0.863636,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8999
0.187755,1,0.848485,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4900
0.489796,1,0.848485,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11299
0.132653,1,0.712121,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,550
0.071429,1,0.606061,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1200
0.163265,1,0.742424,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1800
0.132653,1,0.681818,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,999
0.142857,0.310345,0.909091,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8500
0.132653,1,0.666667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500
0.071429,1,0.787879,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200
0.089796,0.827586,0.636364,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,370
0.179592,1,0.621212,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2222
